0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0
2,2,2,0,2,2,2,0,0,0,0,2,2,0,0,2,0
3,3,3,0,3,3,3,2,0,0,0,1,3,1,2,3,0
4,4,2,0,4,4,4,3,0,0,1,1,3,1,3,4,0
5,5,2,0,5,5,5,0,0,1,0,2,2,0,0,2,0
6,6,4,1,6,6,6,4,0,0,1,1,3,2,4,5,0
7,7,2,0,7,7,7,5,0,0,1,2,2,0,0,2,0
8,8,2,0,8,8,8,0,0,0,1,1,4,0,5,2,0
9,9,2,0,9,9,9,0,0,0,0,3,5,3,6,1,0
10,10,5,0,10,10,10,6,0,0,0,2,2,0,0,2,0
11,11,2,0,11,11,11,0,0,0,1,1,1,4,7,6,0
12,12,3,0,12,12,12,7,0,0,0,1,4,1,8,3,0
13,13,6,0,13,13,13,0,0,0,0,1,3,0,8,7,0
14,14,2,0,14,14,14,8,0,0,1,2,2,0,0,2,0
15,0,2,0,15,15,5,0,0,0,0,2,2,0,0,2,0
16,15,2,0,16,16,15,0,0,1,0,1,2,0,0,2,0
17,16,2,0,17,17,16,0,0,0,0,2,2,0,0,0,0
18,17,2,0,18,18,17,9,0,0,0,1,3,2,9,7,0
19,18,7,0,19,19,18,10,0,0,1,1,3,1,10,3,0
20,10,2,0,5,20,5,0,0,1,0,2,2,0,0,2,0
21,19,2,0,20,21,19,0,0,0,1,2,2,0,0,2,0
22,20,0,0,21,22,20,11,0,0,0,1,4,0,4,0,0
23,21,8,0,22,23,21,12,0,0,0,1,4,2,3,4,0
24,22,2,0,16,24,5,0,0,1,0,1,2,0,11,2,0
25,23,2,0,9,25,22,0,0,0,0,1,5,3,12,8,0
26,24,2,2,5,26,23,13,0,0,0,1,4,4,2,7,0
27,25,9,0,23,27,24,14,0,0,1,1,5,4,13,6,0
28,26,2,0,2,28,25,0,0,0,1,1,2,1,14,7,0
29,27,10,0,24,29,26,0,0,0,1,1,2,0,1,2,0
30,28,2,0,25,30,27,15,0,0,1,4,2,1,15,2,0
31,29,2,0,25,31,28,15,0,0,0,4,2,1,15,2,0
32,30,2,0,5,32,5,0,0,1,0,1,3,1,14,7,0
33,31,11,0,26,33,29,16,0,0,1,1,3,0,2,9,0
34,32,2,0,9,34,30,0,0,0,0,1,5,3,6,8,0
30,33,2,0,25,30,27,15,0,0,1,4,2,1,15,2,0
30,34,2,0,25,35,27,15,0,0,1,4,2,1,15,2,0
35,35,2,0,9,36,31,0,0,0,0,1,5,3,12,1,0
36,36,2,0,9,37,32,0,0,0,0,1,5,3,2,1,0
37,37,2,0,27,38,33,17,0,0,0,1,2,0,16,3,0
38,38,2,0,28,39,34,0,0,1,0,1,5,1,17,2,0
25,39,2,0,9,40,35,0,0,0,0,1,5,3,6,8,0
30,40,2,0,25,30,27,15,0,0,1,4,2,1,15,2,0
39,41,2,0,9,41,36,0,0,0,0,1,5,3,18,1,0
40,36,2,0,9,42,37,0,0,0,0,1,5,3,15,8,0
41,0,2,0,29,43,38,0,0,0,0,1,2,0,5,2,0
42,42,2,0,5,44,39,18,0,1,0,1,4,1,6,10,0
43,43,2,0,27,45,40,19,0,0,0,2,2,0,0,2,0
44,44,2,0,30,46,41,20,0,0,1,2,2,0,0,2,0
45,45,2,0,27,45,40,19,0,0,0,2,2,0,0,2,0
46,46,12,0,31,47,42,21,0,0,1,2,2,1,3,2,0
47,47,2,0,32,48,43,22,0,0,0,1,4,1,2,0,0
48,7,2,0,33,49,44,23,0,0,1,1,1,4,5,9,0
49,48,2,0,25,50,45,15,0,0,1,4,5,1,15,11,0
50,49,13,0,34,51,46,24,0,0,1,1,5,3,19,12,0
51,34,2,0,25,30,27,15,0,0,1,4,2,1,15,2,0
52,50,2,0,9,52,47,0,0,0,0,1,5,3,3,1,0
53,51,2,0,5,53,48,0,0,1,0,2,2,0,0,2,0
54,52,14,0,35,54,49,25,0,0,1,2,2,0,0,2,0
55,53,2,0,16,55,5,0,0,1,0,1,2,0,0,2,0
56,54,2,0,16,56,5,0,0,1,0,1,2,0,0,2,0
57,55,15,0,5,57,50,0,0,1,1,4,2,0,0,10,0
